country_name,year,nmr,region,u5mr
Afghanistan,1995,69.40269086,South Asia,150.2937947
Afghanistan,2000,56.96905726,South Asia,128.6912674
Afghanistan,2005,45.16805909,South Asia,107.8909215
Afghanistan,2010,43.1913302,South Asia,87.62136995
Afghanistan,2015,35.53056633,South Asia,70.44480201
Afghanistan,1987,76.61118722,South Asia,196.44314
Afghanistan,1992,68.00271941,South Asia,165.9300019
Afghanistan,1997,61.62374431,South Asia,141.2236963
Afghanistan,2002,58.94220476,South Asia,120.4300404
Afghanistan,2007,54.42831116,South Asia,99.53159949
Afghanistan,1992,67.74000153,South Asia,165.9300019
Afghanistan,1997,57.07281804,South Asia,141.2236963
Afghanistan,2002,57.13901019,South Asia,120.4300404
Afghanistan,2007,46.54397891,South Asia,99.53159949
Afghanistan,2012,40.66452917,South Asia,80.33916639
Angola,1992,54.26070335,Sub-Saharan Africa,222.1019724
Angola,1997,51.48071935,Sub-Saharan Africa,216.9704203
Angola,2002,40.99353738,Sub-Saharan Africa,190.9141731
Angola,2007,27.53941253,Sub-Saharan Africa,146.8072668
Angola,2012,21.84169129,Sub-Saharan Africa,105.0052945
Albania,2005,10.92601162,"Central Europe, Eastern Europe, Central Asia",19.96422586
Albania,2006,9.696024073,"Central Europe, Eastern Europe, Central Asia",18.51740926
Albania,2007,8.911983279,"Central Europe, Eastern Europe, Central Asia",17.11071862
Albania,2008,8.312154283,"Central Europe, Eastern Europe, Central Asia",15.75198893
Albania,2009,7.709444803,"Central Europe, Eastern Europe, Central Asia",14.45498343
Albania,2010,7.163618214,"Central Europe, Eastern Europe, Central Asia",13.24732323
Albania,2011,6.066793058,"Central Europe, Eastern Europe, Central Asia",12.13884
Albania,2012,5.891805035,"Central Europe, Eastern Europe, Central Asia",11.18487571
Albania,2013,5.566433566,"Central Europe, Eastern Europe, Central Asia",10.43048431
Albania,2014,5.48098434,"Central Europe, Eastern Europe, Central Asia",9.896396628
Albania,2015,5.165826074,"Central Europe, Eastern Europe, Central Asia",9.565250852
Albania,2016,6.869820061,"Central Europe, Eastern Europe, Central Asia",9.419109625
Albania,2017,6.284622113,"Central Europe, Eastern Europe, Central Asia",9.418051532
Albania,2018,7.292458699,"Central Europe, Eastern Europe, Central Asia",9.525133258
Albania,2019,8.543118238,"Central Europe, Eastern Europe, Central Asia",9.682406577
Albania,1985,13.33,"Central Europe, Eastern Europe, Central Asia",55.00048184
Albania,1990,10.18,"Central Europe, Eastern Europe, Central Asia",40.99005843
Albania,1995,14.7,"Central Europe, Eastern Europe, Central Asia",33.91505169
Albania,2000,12.17,"Central Europe, Eastern Europe, Central Asia",27.20516068
Albania,2005,10.75,"Central Europe, Eastern Europe, Central Asia",19.96422586
Albania,1979,37.16,"Central Europe, Eastern Europe, Central Asia",88.60732229
Albania,1984,15.27,"Central Europe, Eastern Europe, Central Asia",59.17870139
Albania,1989,12.24,"Central Europe, Eastern Europe, Central Asia",43.00692344
Albania,1994,11.5,"Central Europe, Eastern Europe, Central Asia",35.17955738
Albania,1999,12.8,"Central Europe, Eastern Europe, Central Asia",28.58305779
Andorra,2008,1.612578109,High income,5.124368889
Andorra,2015,1.956181534,High income,3.52770004
United Arab Emirates,2016,4.2,North Africa / Middle East,7.767149603
United Arab Emirates,2017,4,North Africa / Middle East,7.695299426
United Arab Emirates,1977,14.6,North Africa / Middle East,47.90033522
United Arab Emirates,1982,9.1,North Africa / Middle East,28.84220552
United Arab Emirates,1987,8.1,North Africa / Middle East,19.75487129
United Arab Emirates,1992,7.3,North Africa / Middle East,14.94965769
Argentina,1970,24.57940098,High income,71.7518897
Argentina,1977,23.19493302,High income,55.69080754
Argentina,1978,22.19849624,High income,51.16659275
Argentina,1979,20.13522232,High income,46.7653228
Argentina,1982,17.42815249,High income,36.53369239
Argentina,1983,15.39649693,High income,34.06994964
Argentina,1984,16.9124654,High income,32.08978749
Argentina,1985,15.35296439,High income,30.61560753
Argentina,1986,16.84661261,High income,29.62052188
Argentina,1987,16.88714697,High income,29.09346028
Argentina,1988,15.93582181,High income,28.92852666
Argentina,1989,15.8546933,High income,28.86267297
Argentina,1990,15.36448139,High income,28.6254363
Argentina,1991,15.14301012,High income,28.11613866
Argentina,1992,14.98023605,High income,27.32894663
Argentina,1993,13.75796474,High income,26.32180206
Argentina,1994,14.0400453,High income,25.21380692
Argentina,1995,13.74604355,High income,24.11100436
Argentina,1996,12.77839384,High income,23.06429372
Argentina,1997,11.20462747,High income,22.08670578
Argentina,1998,11.14213018,High income,21.17651262
Argentina,1999,10.86823967,High income,20.35103072
Argentina,2000,10.93032877,High income,19.62654089
Argentina,2001,10.63155694,High income,18.963986
Argentina,2002,11.27083542,High income,18.31756594
Argentina,2003,10.51934804,High income,17.67291904
Argentina,2004,9.738878752,High income,17.06834629
Argentina,2005,8.848389543,High income,16.53964869
Argentina,2006,8.475829599,High income,16.08652936
Argentina,2007,8.430461535,High income,15.69405726
Argentina,2008,8.183961632,High income,15.33026406
Argentina,2009,7.882351047,High income,14.93039615
Argentina,2010,7.790514378,High income,14.44811716
Argentina,2011,7.494307703,High income,13.88298414
Argentina,2012,7.38976972,High income,13.27967334
Argentina,2013,7.224991154,High income,12.66898939
Argentina,2014,7.044936243,High income,12.06113316
Argentina,2015,6.451612903,High income,11.46974052
Argentina,2016,6.376067085,High income,10.89437612
Argentina,2017,6.457482093,High income,10.32719515
Argentina,2018,6.031567245,High income,9.777023215
Armenia,1987,20.62,"Central Europe, Eastern Europe, Central Asia",55.24509089
Armenia,1992,19.86,"Central Europe, Eastern Europe, Central Asia",44.73139192
Armenia,1997,15.88,"Central Europe, Eastern Europe, Central Asia",35.41272468
Armenia,2002,14.03,"Central Europe, Eastern Europe, Central Asia",27.79893428
Armenia,2007,9.38,"Central Europe, Eastern Europe, Central Asia",21.59101637
Armenia,1982,23.71,"Central Europe, Eastern Europe, Central Asia",67.42783811
Armenia,1987,24.58,"Central Europe, Eastern Europe, Central Asia",55.24509089
Armenia,1992,18.6,"Central Europe, Eastern Europe, Central Asia",44.73139192
Armenia,1997,21.36,"Central Europe, Eastern Europe, Central Asia",35.41272468
Armenia,2002,16.7,"Central Europe, Eastern Europe, Central Asia",27.79893428
Armenia,1977,26.58,"Central Europe, Eastern Europe, Central Asia",82.70699198
Armenia,1982,20.3,"Central Europe, Eastern Europe, Central Asia",67.42783811
Armenia,1987,21.8,"Central Europe, Eastern Europe, Central Asia",55.24509089
Armenia,1992,32.44,"Central Europe, Eastern Europe, Central Asia",44.73139192
Armenia,1997,20.54,"Central Europe, Eastern Europe, Central Asia",35.41272468
